ID;Tupla
1;Hutan primer
2;Hutan sekunder kerapatan tinggi
3;Hutan sekunder kerapatan rendah
4;Hutan rawa primer
5;Hutan rawa sekunder
6;Hutan bakau primer
7;Hutan bakau sekunder
8;Tanaman kayu industri
9;Kebun campuran
10;Agroforestri kopi
11;Karet agroforestri
12;Karet
13;Kelapa sawit skala besar
14;Kelapa sawit skala kecil
15;Kelapa
16;Teh
17;Sawah irigasi
18;Sawah tadah hujan
19;Tebu
20;Tanaman semusim lain
21;Semak belukar
22;Rerumputan
23;Tambang
24;Lahan terbuka
25;Pemukiman
26;Tambak
27;Tubuh air
28;Awan
29;Bayangan
